	question	class
0	Formulář žádosti o mezinárodní zápis ochranné známky.	0
1	žádost o mezinárodní zápis ochranné známky.	0
2	Jak zaregistrovat ochrannou známku do zahraničí?	0
3	kde zaregistrovat ochrannou známku do zahraničí?	0
4	Chci zaregistrovat ochrannou známku do zahraničí.	0
5	Mezinárodní ochranné známky.	0
6	Kde najdu žádost k přihlášení do zahraničí?	0
7	Jak najdu žádost k přihlášení do zahraničí?	0
8	Formulář žádosti o mezinárodní zápis patentu.	0
9	žádost o mezinárodní zápis patentu.	0
10	Formulář žádosti o mezinárodní přihlášku patentu.	0
11	žádost o mezinárodní přihlášku patentu.	0
12	Jak přihlásit patent do zahraničí?	0
13	Jak zaregistrovat patent do zahraničí?	0
14	Jak přihlásit vynález do zahraničí?	0
15	Jak zaregistrovat vynález do zahraničí?	0
16	Chci přihlásit patent do zahraničí.	0
17	Chci zaregistrovat patent do zahraničí.	0
18	Chci přihlásit vynález do zahraničí.	0
19	Chci zaregistrovat vynález do zahraničí.	0
20	Mezinárodní patenty.	0
21	Formulář žádosti o mezinárodní zápis užitného vzoru.	0
22	žádost o mezinárodní zápis užitného vzoru.	0
23	Formulář žádosti o mezinárodní přihlášku užitného vzoru.	0
24	žádost o mezinárodní přihlášku užitného vzoru.	0
25	Jak přihlásit užitný vzor do zahraničí?	0
26	Jak zaregistrovat užitný vzor do zahraničí?	0
27	Mezinárodní užitný vzor .	0
28	Mezinárodní užitné vzory.	0
29	Formulář žádosti o mezinárodní zápis průmyslového vzoru.	0
30	žádost o mezinárodní zápis průmyslového vzoru.	0
31	Formulář žádosti o mezinárodní přihlášku průmyslového vzoru.	0
32	žádost o mezinárodní přihlášku průmyslového vzoru.	0
33	Jak přihlásit průmyslový vzor do zahraničí?	0
34	Jak zaregistrovat průmyslový vzor do zahraničí?	0
35	Jak zapsat průmyslový vzor do zahraničí?	0
36	Mezinárodní průmyslový vzor .	0
37	Mezinárodní průmyslové vzory.	0
38	Co chrání autorské právo?	1
39	Na koho se vztahují práva související s autorským právem?	1
40	Jak dlouho platí autorské právo?	1
41	Je nutné autorské právo někde registrovat ?	1
42	Je nutné autorské právo někde zapsat?	1
43	Co je možné dělat s dílem bez autorova souhlasu?	1
44	Co je považováno za legální užití autorského díla?	1
45	Kdo má na starosti autorské právo v České republice?	1
46	užití autorského díla	1
47	Jaká jsou omezení autorského práva?	1
48	Co se stane, pokud někdo poruší autorské právo?	1
49	Co se stane, když někdo poruší autorské právo?	1
50	Kam se obrátit s dotazy k autorskému právu ?	1
51	Kam se obrátit s dotazy k autorským právům?	1
52	Co je možné bez souhlasu autora?	1
53	Co můžu bez souhlasu autora?	1
54	Co lze bez souhlasu autora?	1
55	Mám autorské dílo registrovat?	1
56	musím autorské dílo registrovat?	1
57	musí se autorské dílo registrovat?	1
58	kde autorské dílo registrovat?	1
59	Kdy vzniká autorské právo?	1
60	Co je to stížnost?	2
61	Kde mohu najít informace o stížnostech?	2
62	Kde můžu najít informace o stížnostech?	2
63	Kde lze najít informace o stížnostech?	2
64	Kam má být stížnost podána?	2
65	Kam musí být stížnost podána?	2
66	Co může být předmětem stížnosti?	2
67	Jaký je účel podání stížnosti?	2
68	Kdo může podat stížnost?	2
69	Kdo je oprávněn podat stížnost?	2
70	Co se stane po podání stížnosti?	2
71	Jak může být stížnost vyřešena?	2
72	Jaké jsou možné reakce Úřadu na stížnost?	2
73	právní předpisy týkající se stížností	2
74	Kam podat stížnost?	2
75	Jak podat stížnost?	2
76	Jak může vypadat rozhodnutí o stížnosti?	2
77	Jak vypadá rozhodnutí o stížnosti?	2
78	Kdo vydává Věstník?	3
79	Jak často je vydáván Věstník?	3
80	Jaké informace najdu ve Věstníku?	3
81	Jaké informace jsou zveřejňovány ve Věstníku?	3
82	Jsou v Věstníku informace o patentech ?	3
83	Jsou v Věstníku informace o vynálezech?	3
84	Zveřejňuje Věstník informace o ochranných známkách?	3
85	Jsou ve Věstníku informace o zapsaných průmyslových vzorech?	3
86	Jsou v Věstníku údaje o užitných vzorech?	3
87	Jsou v Věstníku informace o užitných vzorech?	3
88	Kde mohu najít Věstník?	3
89	Kde najdu Věstník?	3
90	Kde najdu právní předpisy týkající se ochrany průmyslového vlastnictví?	4
91	Kde jsou právní předpisy týkající se ochrany průmyslového vlastnictví?	4
92	Na jaké stránce jsou uvedeny právní předpisy o průmyslovém vlastnictví ?	4
93	Na jaké stránce jsou uvedeny právní předpisy o průmyslových právech?	4
94	Kde jsou právní předpisy o patentech ?	4
95	Kde jsou právní předpisy o průmyslových vzorech ?	4
96	Kde jsou právní předpisy o užitných vzorech ?	4
97	Kde jsou právní předpisy o ochranných známkách?	4
98	Mezinárodní právní předpisy.	4
99	Kde najdu mezinárodní právní předpisy?	4
100	Kde mohu najít mezinárodní právní předpisy?	4
101	Kde můžu najít mezinárodní právní předpisy?	4
102	Právní předpisy EU .	4
103	Právní předpisy Evropské unie.	4
104	Kde najdu evropské právní předpisy?	4
105	Jaké jsou předpisy EU ?	4
106	Jaké jsou předpisy Evropské unie?	4
107	Kde najdu právní předpisy?	4
108	Kde jsou dostupné právní předpisy?	4
109	právní předpisy	4
110	přehled právních předpisů	4
111	Kde mohu najít kontakty na Úřad?	5
112	Kde najdu kontakty?	5
113	základní kontakty na úřad	5
114	Má úřad infocentrum?	5
115	jak kontaktovat Úřad průmyslového vlastnictví ?	5
116	jak kontaktovat UPV?	5
117	Kde najdu informace o provozu podatelny Úřadu?	5
118	Kde jsou informace o provozu podatelny Úřadu?	5
119	Kde najdu podatelnu úřadu?	5
120	Kde je podatelna úřadu?	5
121	Kde se mohu obrátit s dotazy týkajícími se průmyslového práva?	5
122	kam se mohu obrátit s dotazy týkajícími se průmyslového práva?	5
123	Kdo mi může poskytnout všeobecné informace ?	5
124	Kdo mi může poskytnout obecné informace ?	5
125	Kde najdu infocentrum?	5
126	Kde je infocentrum?	5
127	Kde najdu pomoc s přihláškou?	6
128	Kde mohu najít pomoc s přihláškou?	6
129	Kdo mi poskytne odborné zastoupení?	6
130	Kdo mi může poskytnout odborné zastoupení?	6
131	Je nějaké odborné zastoupení?	6
132	kde najdu odborné zastoupení?	6
133	Může mi někdo pomoci s přihláškou ?	6
134	Může mi někdo pomoci s přihlašováním?	6
135	patentoví zástupci	6
136	Kdo mi pomůže s přihláškou?	6
137	Kdo může pomoci s přihláškou?	6
138	pomoc s přihláškou	6
139	pomoc s podáním	6
